"sound","word","token","speaker","pulses","points","pointsNorm","tokenNorm","pointsOrig","tokenWord","intensity","tokenSoundNorm","soundSurround","gender"
"l","ila","1","F 1971",0.00500000000000034,0,0,"word",0,"ila_1",64.184,"l | word","ila","F"
"l","ila","1","F 1971",0.00500000000000034,0.00250000000000039,0.0206611570247966,"word",0,"ila_1",64.184,"l | word","ila","F"
"l","ila","1","F 1971",0.00559999999999983,0.00780000000000047,0.0644628099173593,"word",0.00500000000000034,"ila_1",63.8275,"l | word","ila","F"
"l","ila","1","F 1971",0.00609999999999999,0.0136500000000002,0.112809917355373,"word",0.0106000000000002,"ila_1",64.1559,"l | word","ila","F"
"l","ila","1","F 1971",0.00590000000000002,0.0196500000000004,0.162396694214879,"word",0.0167000000000002,"ila_1",64.5159,"l | word","ila","F"
"l","ila","1","F 1971",0.00579999999999981,0.0255000000000001,0.210743801652893,"word",0.0226000000000002,"ila_1",65.4716,"l | word","ila","F"
"l","ila","1","F 1971",0.00590000000000002,0.0313499999999998,0.259090909090907,"word",0.0284,"ila_1",66.725,"l | word","ila","F"
"l","ila","1","F 1971",0.00560000000000027,0.0371000000000001,0.306611570247935,"word",0.0343,"ila_1",67.9194,"l | word","ila","F"
"l","ila","1","F 1971",0.00559999999999983,0.0427,0.352892561983471,"word",0.0399000000000003,"ila_1",68.7252,"l | word","ila","F"
"l","ila","1","F 1971",0.00550000000000006,0.0482500000000003,0.398760330578515,"word",0.0455000000000001,"ila_1",69.4406,"l | word","ila","F"
"l","ila","1","F 1971",0.00550000000000006,0.05375,0.444214876033058,"word",0.0510000000000002,"ila_1",70.0941,"l | word","ila","F"
"l","ila","1","F 1971",0.00559999999999983,0.0593000000000004,0.490082644628102,"word",0.0565000000000002,"ila_1",70.4502,"l | word","ila","F"
"l","ila","1","F 1971",0.00560000000000027,0.0649000000000002,0.536363636363638,"word",0.0621,"ila_1",70.767,"l | word","ila","F"
"l","ila","1","F 1971",0.00559999999999983,0.0705,0.582644628099174,"word",0.0677000000000003,"ila_1",71.0198,"l | word","ila","F"
"l","ila","1","F 1971",0.00559999999999983,0.0761000000000003,0.628925619834713,"word",0.0733000000000001,"ila_1",71.0562,"l | word","ila","F"
"l","ila","1","F 1971",0.00570000000000004,0.08175,0.675619834710744,"word",0.0789,"ila_1",71.0761,"l | word","ila","F"
"l","ila","1","F 1971",0.00580000000000025,0.0875000000000004,0.723140495867772,"word",0.0846,"ila_1",71.0125,"l | word","ila","F"
"l","ila","1","F 1971",0.00590000000000002,0.09335,0.771487603305785,"word",0.0904000000000003,"ila_1",70.7969,"l | word","ila","F"
"l","ila","1","F 1971",0.00599999999999978,0.0993000000000004,0.820661157024797,"word",0.0963000000000003,"ila_1",70.5735,"l | word","ila","F"
"l","ila","1","F 1971",0.00609999999999999,0.10535,0.870661157024794,"word",0.1023,"ila_1",70.3778,"l | word","ila","F"
"l","ila","1","F 1971",0.00609999999999999,0.11145,0.92107438016529,"word",0.1084,"ila_1",70.1997,"l | word","ila","F"
"l","ila","1","F 1971",0.00600000000000023,0.1175,0.971074380165291,"word",0.1145,"ila_1",70.0404,"l | word","ila","F"
"l","ila","1","F 1971",0.000499999999999723,0.12075,0.997933884297522,"word",0.1205,"ila_1",70.0051,"l | word","ila","F"
"l","ila","1","F 1971",0.000499999999999723,0.121,1,"word",0.121,"ila_1",70.0051,"l | word","ila","F"
"l","ila","2","F 1971",0.00549999999999962,0,0,"word",0,"ila_2",66.0391,"l | word","ila","F"
"l","ila","2","F 1971",0.00549999999999962,0.00274999999999981,0.0245535714285698,"word",0,"ila_2",66.0391,"l | word","ila","F"
"l","ila","2","F 1971",0.00600000000000023,0.00849999999999973,0.075892857142855,"word",0.00549999999999962,"ila_2",65.5986,"l | word","ila","F"
"l","ila","2","F 1971",0.00579999999999981,0.0143999999999997,0.128571428571427,"word",0.0114999999999998,"ila_2",65.1973,"l | word","ila","F"
"l","ila","2","F 1971",0.00580000000000025,0.0202,0.180357142857143,"word",0.0172999999999996,"ila_2",65.6311,"l | word","ila","F"
"l","ila","2","F 1971",0.00590000000000002,0.0260499999999997,0.232589285714284,"word",0.0230999999999999,"ila_2",66.3587,"l | word","ila","F"
"l","ila","2","F 1971",0.00599999999999978,0.032,0.285714285714287,"word",0.0289999999999999,"ila_2",67.1318,"l | word","ila","F"
"l","ila","2","F 1971",0.00560000000000027,0.0377999999999998,0.3375,"word",0.0349999999999997,"ila_2",68.0579,"l | word","ila","F"
"l","ila","2","F 1971",0.00590000000000002,0.0435499999999998,0.388839285714285,"word",0.0406,"ila_2",69.001,"l | word","ila","F"
"l","ila","2","F 1971",0.00579999999999981,0.0493999999999999,0.441071428571429,"word",0.0465,"ila_2",69.7947,"l | word","ila","F"
"l","ila","2","F 1971",0.00579999999999981,0.0551999999999997,0.492857142857142,"word",0.0522999999999998,"ila_2",70.266,"l | word","ila","F"
"l","ila","2","F 1971",0.00590000000000002,0.0610499999999998,0.545089285714286,"word",0.0580999999999996,"ila_2",70.7275,"l | word","ila","F"
"l","ila","2","F 1971",0.00580000000000025,0.0668999999999995,0.597321428571426,"word",0.0639999999999996,"ila_2",70.9923,"l | word","ila","F"
"l","ila","2","F 1971",0.00590000000000002,0.0727500000000001,0.649553571428574,"word",0.0697999999999999,"ila_2",71.1081,"l | word","ila","F"
"l","ila","2","F 1971",0.00590000000000002,0.0786499999999997,0.702232142857142,"word",0.0756999999999999,"ila_2",71.2216,"l | word","ila","F"
"l","ila","2","F 1971",0.00599999999999978,0.0846,0.755357142857145,"word",0.0815999999999999,"ila_2",71.3008,"l | word","ila","F"
"l","ila","2","F 1971",0.00600000000000023,0.0905999999999998,0.808928571428572,"word",0.0875999999999997,"ila_2",71.3706,"l | word","ila","F"
"l","ila","2","F 1971",0.00599999999999978,0.0965999999999996,0.862499999999999,"word",0.0935999999999999,"ila_2",71.4205,"l | word","ila","F"
"l","ila","2","F 1971",0.00609999999999999,0.10265,0.916517857142857,"word",0.0995999999999997,"ila_2",71.408,"l | word","ila","F"
"l","ila","2","F 1971",0.00620000000000021,0.1088,0.971428571428571,"word",0.1057,"ila_2",71.3906,"l | word","ila","F"
"l","ila","2","F 1971",9.99999999997669e-05,0.11195,0.999553571428572,"word",0.1119,"ila_2",71.3735,"l | word","ila","F"
"l","ila","2","F 1971",9.99999999997669e-05,0.112,1,"word",0.112,"ila_2",71.3735,"l | word","ila","F"
"l","ila","3","F 1971",0.00119999999999987,0,0,"word",0,"ila_3",68.6671,"l | word","ila","F"
"l","ila","3","F 1971",0.00119999999999987,0.00059999999999949,0.00605449041371837,"word",0,"ila_3",68.6671,"l | word","ila","F"
"l","ila","3","F 1971",0.00609999999999999,0.00424999999999986,0.0428859737638735,"word",0.00119999999999987,"ila_3",68.4485,"l | word","ila","F"
"l","ila","3","F 1971",0.00579999999999981,0.0102000000000002,0.102926337033302,"word",0.00729999999999986,"ila_3",68.2532,"l | word","ila","F"
"l","ila","3","F 1971",0.00590000000000046,0.0160499999999999,0.161957618567103,"word",0.0130999999999997,"ila_3",68.4164,"l | word","ila","F"
"l","ila","3","F 1971",0.00589999999999957,0.0219499999999995,0.221493440968713,"word",0.0190000000000001,"ila_3",68.5918,"l | word","ila","F"
"l","ila","3","F 1971",0.00580000000000069,0.0278,0.280524722502523,"word",0.0248999999999997,"ila_3",68.8395,"l | word","ila","F"
"l","ila","3","F 1971",0.00579999999999981,0.0336000000000007,0.339051463168524,"word",0.0307000000000004,"ila_3",69.1451,"l | word","ila","F"
"l","ila","3","F 1971",0.00589999999999957,0.0394499999999995,0.398082744702316,"word",0.0365000000000002,"ila_3",69.4522,"l | word","ila","F"
"l","ila","3","F 1971",0.00600000000000023,0.0453999999999999,0.458123107971745,"word",0.0423999999999998,"ila_3",69.7707,"l | word","ila","F"
"l","ila","3","F 1971",0.00600000000000023,0.0514000000000001,0.518668012108982,"word",0.0484,"ila_3",70.0951,"l | word","ila","F"
"l","ila","3","F 1971",0.00609999999999999,0.0574500000000002,0.579717457114029,"word",0.0544000000000002,"ila_3",70.4095,"l | word","ila","F"
"l","ila","3","F 1971",0.00619999999999976,0.0636000000000001,0.641775983854693,"word",0.0605000000000002,"ila_3",70.6778,"l | word","ila","F"
"l","ila","3","F 1971",0.00619999999999976,0.0697999999999999,0.704339051463167,"word",0.0667,"ila_3",70.9445,"l | word","ila","F"
"l","ila","3","F 1971",0.00630000000000042,0.0760499999999995,0.76740665993945,"word",0.0728999999999997,"ila_3",71.1471,"l | word","ila","F"
"l","ila","3","F 1971",0.00640000000000018,0.0824000000000007,0.83148335015137,"word",0.0792000000000002,"ila_3",71.2992,"l | word","ila","F"
"l","ila","3","F 1971",0.00649999999999995,0.0888499999999999,0.896569122098889,"word",0.0856000000000003,"ila_3",71.4289,"l | word","ila","F"
"l","ila","3","F 1971",0.00649999999999995,0.0953500000000007,0.962159434914236,"word",0.0921000000000003,"ila_3",71.4402,"l | word","ila","F"
"l","ila","3","F 1971",0.000499999999999723,0.0988499999999997,0.997477295660945,"word",0.0986000000000002,"ila_3",71.4374,"l | word","ila","F"
"l","ila","3","F 1971",0.000499999999999723,0.0991,1,"word",0.0991,"ila_3",71.4374,"l | word","ila","F"
"l","ila","cf","F 1971",0.00169999999999959,0,0,"cf",0,"ila_cf",68.67,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00169999999999959,0.000849999999999795,0.00955056179775056,"cf",0,"ila_cf",68.67,"l | cf","ila","F"
